Player,Pick,Minutes Played,DraftYear
IsaÃ¯a Cordinier,44,,2016
Demetrius Jackson,45,5.2,2016
A.J. Hammons,46,7.4,2016
Jake Layman,47,12.8,2016
Paul Zipser,48,17.0,2016
Michael Gbinije,49,3.6,2016
Georges Niang,50,17.5,2016
Ben Bentil,51,3.3,2016
Joel Bolomboy,52,5.1,2016
Petr Cornelie,53,2.9,2016
Kay Felder,54,9.1,2016
Marcus Paige,55,5.6,2016
Daniel Hamilton,56,9.3,2016
Wang Zhelin,57,,2016
Abdel Nader,58,12.8,2016
Isaiah Cousins,59,,2016
Tyrone Wallace,60,15.3,2016
Markelle Fultz,1,24.0,2017
Lonzo Ball,2,31.2,2017
Jayson Tatum,3,34.5,2017
Josh Jackson,4,23.1,2017
De'Aaron Fox,5,33.3,2017
Jonathan Isaac,6,20.4,2017
Lauri Markkanen,7,31.0,2017
Frank Ntilikina,8,17.0,2017
Dennis Smith Jr.,9,23.3,2017
Zach Collins,10,18.9,2017
Malik Monk,11,22.8,2017
Luke Kennard,12,23.4,2017
Donovan Mitchell,13,33.8,2017
Bam Adebayo,14,30.6,2017
Justin Jackson,15,17.5,2017
Justin Patton,16,13.5,2017
D.J. Wilson,17,12.3,2017
T.J. Leaf,18,8.5,2017
John Collins,19,29.1,2017
Harry Giles,20,11.7,2017
Terrance Ferguson,21,19.6,2017
Jarrett Allen,22,28.2,2017
OG Anunoby,23,30.2,2017
Tyler Lydon,24,3.7,2017
AnÅ¾ejs PaseÄÅiks,25,15.8,2017
Caleb Swanigan,26,8.7,2017
Kyle Kuzma,27,31.2,2017
Tony Bradley,28,10.9,2017
Derrick White,29,28.5,2017
Josh Hart,30,30.4,2017
Round 2,,Per Game,2017
Player,Pk,MP,2017
Frank Jackson,31,18.1,2017
Davon Reed,32,10.6,2017
Wes Iwundu,33,16.9,2017
Frank Mason III,34,15.7,2017
Ivan Rabb,35,14.6,2017
Jonah Bolden,36,13.5,2017
Semi Ojeleye,37,14.5,2017
Jordan Bell,38,12.0,2017
Jawun Evans,39,15.1,2017
Dwayne Bacon,40,19.4,2017
Tyler Dorsey,41,15.7,2017
Thomas Bryant,42,17.7,2017
Isaiah Hartenstein,43,19.5,2017
Damyean Dotson,44,19.9,2017
Dillon Brooks,45,29.5,2017
Sterling Brown,46,16.6,2017
Ike Anigbogu,47,2.6,2017
Sindarius Thornwell,48,10.8,2017
Vlatko ÄanÄar,49,10.7,2017
Mathias Lessort,50,,2017
Monte Morris,51,23.4,2017
Edmond Sumner,52,14.0,2017
Kadeem Allen,53,13.6,2017
Alec Peters,54,11.3,2017
Nigel Williams-Goss,55,5.0,2017
Jabari Bird,56,8.8,2017
Sasha Vezenkov,57,12.2,2017
Ognjen Jaramaz,58,,2017
Jaron Blossomgame,59,16.3,2017
Alpha Kaba,60,,2017
Deandre Ayton,1,30.8,2018
Marvin Bagley III,2,22.4,2018
Luka DonÄiÄ,3,34.9,2018
Jaren Jackson Jr.,4,28.6,2018
Trae Young,5,34.4,2018
Mo Bamba,6,16.8,2018
Wendell Carter Jr.,7,27.3,2018
Collin Sexton,8,29.9,2018
Kevin Knox,9,17.5,2018
Mikal Bridges,10,33.3,2018
Shai Gilgeous-Alexander,11,33.1,2018
Miles Bridges,12,30.8,2018
Jerome Robinson,13,12.5,2018
Michael Porter Jr.,14,29.1,2018
Troy Brown Jr.,15,19.0,2018
Zhaire Smith,16,11.0,2018
Donte DiVincenzo,17,25.5,2018
Lonnie Walker IV,18,20.5,2018
Kevin Huerter,19,28.1,2018
Josh Okogie,20,19.1,2018
Grayson Allen,21,25.4,2018
Chandler Hutchison,22,17.4,2018
Aaron Holiday,23,16.4,2018
Anfernee Simons,24,26.8,2018
Moritz Wagner,25,16.7,2018
Landry Shamet,26,21.1,2018
Robert Williams,27,20.2,2018
Jacob Evans,28,10.5,2018
DÅ¾anan Musa,29,10.7,2018
Omari Spellman,30,17.8,2018
Round 2,,Per Game,2018
Player,Pk,MP,2018
Elie Okobo,31,15.5,2018
Jevon Carter,32,15.2,2018
Jalen Brunson,33,29.2,2018
Devonte' Graham,34,24.9,2018
Melvin Frazier,35,9.1,2018
Mitchell Robinson,36,24.1,2018
Gary Trent Jr.,37,28.2,2018
Khyri Thomas,38,10.5,2018
Isaac Bonga,39,13.1,2018
Rodions Kurucs,40,16.1,2018
Jarred Vanderbilt,41,20.0,2018
Bruce Brown,42,24.9,2018
Justin Jackson,43,,2018
Issuf Sanon,44,,2018
Hamidou Diallo,45,18.6,2018
De'Anthony Melton,46,22.9,2018
Svi Mykhailiuk,47,16.3,2018
Keita Bates-Diop,48,16.1,2018
Chimezie Metu,49,13.7,2018
Alize Johnson,50,7.5,2018
Tony Carr,51,,2018
Vince Edwards,52,8.0,2018
Devon Hall,53,7.4,2018
Shake Milton,54,18.7,2018
Arnoldas Kulboka,55,2.5,2018
Ray Spalding,56,10.4,2018
Kevin Hervey,57,5.2,2018
Thomas Welsh,58,3.3,2018
George King,59,5.0,2018
Kostas Antetokounmpo,60,4.0,2018
Zion Williamson,1,31.4,2019
Ja Morant,2,31.9,2019
RJ Barrett,3,33.1,2019
De'Andre Hunter,4,30.0,2019
Darius Garland,5,33.2,2019
Jarrett Culver,6,17.2,2019
Coby White,7,29.8,2019
Jaxson Hayes,8,16.4,2019
Rui Hachimura,9,27.7,2019
Cam Reddish,10,23.1,2019
Cameron Johnson,11,26.5,2019
P.J. Washington,12,30.6,2019
Tyler Herro,13,32.6,2019
Romeo Langford,14,16.1,2019
Sekou Doumbouya,15,17.1,2019
Chuma Okeke,16,20.3,2019
Nickeil Alexander-Walker,17,20.8,2019
Goga Bitadze,18,14.4,2019
Luka Å amaniÄ,19,10.7,2019
Matisse Thybulle,20,20.9,2019
Brandon Clarke,21,20.8,2019
Grant Williams,22,22.9,2019
Darius Bazley,23,23.4,2019
Ty Jerome,24,18.1,2019
Nassir Little,25,15.8,2019
Dylan Windler,26,10.8,2019
Mfiondu Kabengele,27,6.9,2019
Jordan Poole,28,27.5,2019
Keldon Johnson,29,28.6,2019
Kevin Porter Jr.,30,27.3,2019
Round 2,,Per Game,2019
Player,Pk,MP,2019
Nic Claxton,31,25.8,2019
KZ Okpala,32,9.8,2019
Carsen Edwards,33,9.8,2019
Bruno Fernando,34,10.6,2019
Didi Louzada,35,15.4,2019
Cody Martin,36,21.9,2019
Deividas Sirvydis,37,7.0,2019
Daniel Gafford,38,19.8,2019
Alen SmailagiÄ,39,7.7,2019
Justin James,40,7.5,2019
Eric Paschall,41,19.5,2019
Admiral Schofield,42,10.5,2019
Jaylen Nowell,43,17.2,2019
Bol Bol,44,13.6,2019
Isaiah Roby,45,18.9,2019
Talen Horton-Tucker,46,19.5,2019
Ignas Brazdeikis,47,13.1,2019
Terance Mann,48,22.1,2019
Quinndary Weatherspoon,49,6.5,2019
Jarrell Brantley,50,6.7,2019
Tremont Waters,51,10.2,2019
Jalen McDaniels,52,18.1,2019
Justin Wright-Foreman,53,11.3,2019
Marial Shayok,54,7.0,2019
Kyle Guy,55,8.1,2019
Jaylen Hands,56,,2019
Jordan Bone,57,10.4,2019
Miye Oni,58,8.4,2019
Dewan Hernandez,59,4.7,2019
Vanja MarinkoviÄ,60,,2019
Anthony Edwards,1,34.8,2020
James Wiseman,2,18.9,2020
LaMelo Ball,3,31.9,2020
Patrick Williams,4,27.1,2020
Isaac Okoro,5,26.2,2020
Onyeka Okongwu,6,22.5,2020
Killian Hayes,7,26.1,2020
Obi Toppin,8,17.2,2020
Deni Avdija,9,27.0,2020
Jalen Smith,10,16.1,2020
Devin Vassell,11,27.7,2020
Tyrese Haliburton,12,33.0,2020
Kira Lewis Jr.,13,13.3,2020
Aaron Nesmith,14,21.4,2020
Cole Anthony,15,24.8,2020
Isaiah Stewart,16,24.6,2020
Aleksej Pokusevski,17,20.4,2020
Josh Green,18,22.0,2020
Saddiq Bey,19,30.2,2020
Precious Achiuwa,20,20.0,2020
Tyrese Maxey,21,32.0,2020
Zeke Nnaji,22,12.0,2020
Leandro Bolmaro,23,6.3,2020
R.J. Hampton,24,18.3,2020
Immanuel Quickley,25,25.6,2020
Payton Pritchard,26,20.2,2020
Udoka Azubuike,27,8.6,2020
Jaden McDaniels,28,28.5,2020
Malachi Flynn,29,14.2,2020
Desmond Bane,30,29.6,2020
Round 2,,Per Game,2020
Player,Pk,MP,2020
Tyrell Terry,31,4.5,2020
Vernon Carey Jr.,32,5.1,2020
Daniel Oturu,33,5.7,2020
ThÃ©o Maledon,34,21.2,2020
Xavier Tillman Sr.,35,16.0,2020
Tyler Bey,36,3.9,2020
Vit Krejci,37,18.5,2020
Saben Lee,38,14.5,2020
Elijah Hughes,39,9.2,2020
Robert Woodard II,40,3.5,2020
Tre Jones,41,21.7,2020
Nick Richards,42,18.1,2020
Jahmi'us Ramsey,43,8.9,2020
Marko Simonovic,44,3.4,2020
Jordan Nwora,45,16.3,2020
CJ Elleby,46,15.5,2020
Yam Madar,47,,2020
Nico Mannion,48,12.1,2020
Isaiah Joe,49,16.9,2020
Skylar Mays,50,10.6,2020
Justinian Jessup,51,,2020
KJ Martin,52,21.6,2020
Cassius Winston,53,4.7,2020
Cassius Stanley,54,7.5,2020
Jay Scrubb,55,9.8,2020
Grant Riller,56,3.9,2020
Reggie Perry,57,11.1,2020
Paul Reed,58,12.5,2020
Jalen Harris,59,13.2,2020
Sam Merrill,60,16.3,2020
Cade Cunningham,1,33.7,2021
Jalen Green,2,32.7,2021
Evan Mobley,3,32.5,2021
Scottie Barnes,4,34.5,2021
Jalen Suggs,5,26.4,2021
Josh Giddey,6,29.3,2021
Jonathan Kuminga,7,22.0,2021
Franz Wagner,8,32.3,2021
Davion Mitchell,9,22.1,2021
Ziaire Williams,10,21.1,2021
James Bouknight,11,11.4,2021
Joshua Primo,12,19.1,2021
Chris Duarte,13,18.3,2021
Moses Moody,14,16.6,2021
Corey Kispert,15,25.9,2021
Alperen ÅengÃ¼n,16,28.3,2021
Trey Murphy III,17,27.3,2021
Tre Mann,18,21.3,2021
Kai Jones,19,10.1,2021
Jalen Johnson,20,23.6,2021
Keon Johnson,21,19.2,2021
Isaiah Jackson,22,15.0,2021
Usman Garuba,23,11.7,2021
Josh Christopher,24,14.4,2021
Quentin Grimes,25,24.5,2021
Bones Hyland,26,17.1,2021
Cam Thomas,27,23.2,2021
Jaden Springer,28,8.8,2021
Day'Ron Sharpe,29,14.5,2021
Santi Aldama,30,22.6,2021
Round 2,,Per Game,2021
Player,Pk,MP,2021
Isaiah Todd,31,7.5,2021
Jeremiah Robinson-Earl,32,17.6,2021
Jason Preston,33,9.3,2021
Rokas Jokubaitis,34,,2021
Herbert Jones,35,30.2,2021
Miles McBride,36,17.2,2021
JT Thor,37,12.2,2021
Ayo Dosunmu,38,28.0,2021
Neemias Queta,39,12.2,2021
Jared Butler,40,13.8,2021
Joe Wieskamp,41,6.7,2021
Isaiah Livers,42,21.8,2021
Greg Brown III,43,11.0,2021
Kessler Edwards,44,12.7,2021
Juhann Begarin,45,,2021
Dalano Banton,46,14.5,2021
David Johnson,47,1.0,2021
Sharife Cooper,48,3.0,2021
Marcus Zegarowski,49,,2021
Filip PetruÅ¡ev,50,3.3,2021
Brandon Boston Jr.,51,16.0,2021
Luka Garza,52,7.8,2021
Charles Bassey,53,11.1,2021
Sandro Mamukelashvili,54,11.5,2021
Aaron Wiggins,55,20.0,2021
Scottie Lewis,56,3.5,2021
BalÅ¡a Koprivica,57,,2021
Jericho Sims,58,13.5,2021
RaiQuan Gray,59,18.5,2021
Georgios Kalaitzakis,60,16.4,2021
Paolo Banchero,1,34.4,2022
Chet Holmgren,2,28.9,2022
Jabari Smith Jr.,3,31.1,2022
Keegan Murray,4,32.5,2022
Jaden Ivey,5,29.9,2022
Bennedict Mathurin,6,28.3,2022
Shaedon Sharpe,7,27.7,2022
Dyson Daniels,8,25.4,2022
Jeremy Sochan,9,27.3,2022
Johnny Davis,10,11.4,2022
Ousmane Dieng,11,12.3,2022
Jalen Williams,12,31.3,2022
Jalen Duren,13,26.6,2022
Ochai Agbaji,14,22.8,2022
Mark Williams,15,23.7,2022
AJ Griffin,16,17.1,2022
Tari Eason,17,22.8,2022
Dalen Terry,18,11.1,2022
Jake LaRavia,19,18.9,2022
Malaki Branham,20,19.0,2022
Christian Braun,21,23.3,2022
Walker Kessler,22,25.2,2022
David Roddy,23,16.9,2022
MarJon Beauchamp,24,10.9,2022
Blake Wesley,25,14.3,2022
Wendell Moore Jr.,26,8.1,2022
Nikola JoviÄ,27,21.1,2022
Patrick Baldwin Jr.,28,8.9,2022
TyTy Washington Jr.,29,10.5,2022
Peyton Watson,30,19.5,2022
Round 2,,Per Game,2022
Player,Pk,MP,2022
Andrew Nembhard,31,27.2,2022
Caleb Houstan,32,14.4,2022
Christian Koloko,33,12.0,2022
Jaylin Williams,34,15.7,2022
Max Christie,35,19.3,2022
Gabriele Procida,36,,2022
Jaden Hardy,37,14.6,2022
Kennedy Chandler,38,7.8,2022
Khalifa Diop,39,,2022
Bryce McGowens,40,14.4,2022
E.J. Liddell,41,3.8,2022
Trevor Keels,42,2.7,2022
Moussa DiabatÃ©,43,14.4,2022
Ryan Rollins,44,11.9,2022
Josh Minott,45,5.0,2022
Ismael Kamagate,46,,2022
Vince Williams Jr.,47,21.7,2022
Kendall Brown,48,4.9,2022
Isaiah Mobley,49,7.5,2022
Matteo Spagnolo,50,,2022
Tyrese Martin,51,18.2,2022
Karlo MatkoviÄ,52,18.8,2022
JD Davison,53,5.5,2022
Yannick Nzosa,54,,2022
Gui Santos,55,12.1,2022
Luke Travers,56,7.3,2022
Jabari Walker,57,16.3,2022
Hugo Besson,58,,2022
Victor Wembanyama,1,31.1,2023
Brandon Miller,2,32.7,2023
Scoot Henderson,3,27.5,2023
Amen Thompson,4,27.6,2023
Ausar Thompson,5,23.9,2023
Anthony Black,6,20.8,2023
Bilal Coulibaly,7,30.0,2023
Jarace Walker,8,14.1,2023
Taylor Hendricks,9,21.7,2023
Cason Wallace,10,23.8,2023
Jett Howard,11,9.8,2023
Dereck Lively II,12,23.4,2023
Gradey Dick,13,25.0,2023
Jordan Hawkins,14,20.2,2023
Kobe Bufkin,15,11.9,2023
Keyonte George,16,29.1,2023
Jalen Hood-Schifino,17,11.8,2023
Jaime Jaquez Jr.,18,24.7,2023
Brandin Podziemski,19,26.7,2023
Cam Whitmore,20,17.4,2023
Noah Clowney,21,20.5,2023
Dariq Whitehead,22,12.3,2023
Kris Murray,23,18.2,2023
Olivier-Maxence Prosper,24,10.0,2023
Marcus Sasser,25,16.9,2023
Ben Sheppard,26,17.0,2023
Nick Smith Jr.,27,18.9,2023
Brice Sensabaugh,28,19.6,2023
Julian Strawther,29,16.8,2023
Kobe Brown,30,7.9,2023
Round 2,,Per Game,2023
Player,Pk,MP,2023
James Nnaji,31,,2023
Jalen Pickett,32,10.4,2023
Leonard Miller,33,2.8,2023
Colby Jones,34,10.2,2023
Julian Phillips,35,12.2,2023
Andre Jackson Jr.,36,12.5,2023
Hunter Tyson,37,6.5,2023
Jordan Walsh,38,8.0,2023
Mouhamed Gueye,39,15.5,2023
Maxwell Lewis,40,6.9,2023
Amari Bailey,41,6.5,2023
Tristan Vukcevic,42,14.8,2023
Rayan Rupert,43,12.0,2023
Sidy Cissoko,44,7.5,2023
GG Jackson II,45,22.0,2023
Seth Lundy,46,5.8,2023
Mojave King,47,,2023
Jordan Miller,48,10.0,2023
Emoni Bates,49,8.3,2023
Keyontae Johnson,50,7.3,2023
Jalen Wilson,51,22.1,2023
Toumani Camara,52,29.0,2023
Jaylen Clark,53,13.1,2023
Jalen Slawson,54,3.1,2023
Isaiah Wong,55,12.8,2023
Tarik Biberovic,56,,2023
Trayce Jackson-Davis,57,16.1,2023
Chris Livingston,58,4.7,2023
Zaccharie Risacher,1,24.6,2024
Alex Sarr,2,27.1,2024
Reed Sheppard,3,12.6,2024
Stephon Castle,4,26.7,2024
Ron Holland,5,15.6,2024
Tidjane SalaÃ¼n,6,20.7,2024
Donovan Clingan,7,19.8,2024
Rob Dillingham,8,10.5,2024
Zach Edey,9,21.5,2024
Cody Williams,10,21.2,2024
Matas Buzelis,11,18.9,2024
Nikola TopiÄ,12,,2024
Devin Carter,13,11.0,2024
Bub Carrington,14,30.0,2024
Kel'el Ware,15,22.2,2024
Jared McCain,16,25.7,2024
Dalton Knecht,17,19.2,2024
Tristan Da Silva,18,22.0,2024
Ja'Kobe Walter,19,21.2,2024
Jaylon Tyson,20,9.6,2024
Yves Missi,21,26.8,2024
DaRon Holmes,22,,2024
AJ Johnson,23,22.0,2024
Kyshawn George,24,26.5,2024
Pacome Dadiet,25,6.2,2024
Dillon Jones,26,10.2,2024
Terrence Shannon Jr.,27,10.6,2024
Ryan Dunn,28,19.1,2024
Isaiah Collier,29,25.9,2024
Baylor Scheierman,30,12.4,2024
Round 2,,Per Game,2024
Player,Pk,MP,2024
Jonathan Mogbo,31,20.4,2024
Kyle Filipowski,32,21.1,2024
Tyler Smith,33,5.3,2024
Tyler Kolek,34,7.2,2024
Johnny Furphy,35,7.6,2024
Juan Nunez,36,,2024
Bobi Klintman,37,5.3,2024
Ajay Mitchell,38,16.6,2024
Jaylen Wells,39,25.9,2024
Oso Ighodaro,40,17.1,2024
Adem Bona,41,15.6,2024
KJ Simpson,42,23.4,2024
Nikola Djurisic,43,,2024
Pelle Larsson,44,14.2,2024
Jamal Shead,45,19.6,2024
Cam Christie,46,4.5,2024
Antonio Reeves,47,15.0,2024
Harrison Ingram,48,7.0,2024
Tristen Newton,49,2.0,2024
Enrique Freeman,50,8.2,2024
Melvin AjinÃ§a,51,,2024
Quinten Post,52,16.3,2024
Cam Spencer,53,10.1,2024
Anton Watson,54,2.4,2024
Bronny James,55,6.7,2024
Kevin McCullar Jr.,56,7.3,2024
Ulrich Chomche,57,4.6,2024
Ariel Hukporti,58,8.7,2024
